name,mle,ll,ul,method
P_0,3.65714285714286,1.0280544387016226,8.300251517103202,Surface
alpha,0.18751139873388406,0.1326530612244898,0.28651259350187636,Surface
zeta,1.0121183787222199,0.44308214798232154,2.5338192457225257,Surface
Re_0,4.3774119879736,1.9163302900235404,10.958768237749924,Surface
zeta,0.3333333333333325,0.29999999999999905,1.3814814814814835,MCAP
P_0,3.4897897897898082,0.6483483483483511,8.400000000000047,MCAP
alpha,0.20517456231741918,0.15626851341137032,0.3157953872239582,MCAP
Re_0,1.4416666666666629,1.297499999999996,5.974907407407415,MCAP
zeta,1.1306122448979592,0.45102040816326594,2.414285714285713,Profile
P_0,3.65714285714286,1.1163265306122447,8.230612244897978,Profile
alpha,0.1938775510204085,0.1326530612244898,0.28571428571428603,Profile
Re_0,4.889897959183674,1.9506632653061249,10.44178571428571,Profile
